revenue,gender,age,engaged_last_30,lifecycle, days_since_last_order ,previous_order_amount,3rd_party_stores
2020.92,,,,C,10.74,4427.27,0
36.98,1,85,0,C,7.55,24.75,0
74.99,1,73,0,B,1.42,4834.823,0
279.96,1,53,0,C,8.74,324.99,0
613.97,1,46,0,C,17.74,3656.124,8
94.02,1,68,0,C,3.03,1431.13,1
87.26,1,84,0,C,9.45,178.15,4
239,1,51,0,C,6.42,1677.134,0
699.99,0,68,0,C,12.16,3878.779,0
1549.28,,,,C,15.39,12,1
299.99,1,62,0,C,2.45,2483.57,0
86.98,,,,C,8.26,3598.94,0
699.97,,,,B,1.55,1483.479,0
655.9,1,65,0,C,9.42,1061.15,0
1130.85,1,63,0,C,17.9,738.16,10
559.92,1,95,0,C,5.58,10182.07,0
359.97,,,,C,10.19,2275.14,3
372.39,,,,C,21.97,1677.627,0
15.99,1,79,0,C,11.48,0,4
1854.58,1,59,0,C,5.35,11597.9,0
649.8,1,47,0,C,23.19,495.99,10
391.99,1,53,1,C,11.9,3388.471,0
146.59,,,,C,12.48,1023.98,0
83.99,1,64,0,A,0.97,1940.78,0
474.93,,,,C,3.58,829.621,10
309.99,1,64,1,B,2.03,5471.005,0
1037.97,1,65,0,C,16.06,1567.402,2
79.99,0,43,0,C,10.61,3783.346,1
897.26,,,,C,14.03,894.98,3
1193.95,1,46,0,C,8.84,1006.5,0
178.97,1,50,0,B,1.26,1449,0
549.99,1,79,0,C,12.06,2326.98,5
268,1,46,0,A,0.29,601.15,0
239,,,,C,0.52,899,10
3125.23,,,,B,2.52,409.99,0
969.98,1,54,0,C,2.77,0,10
49.99,,,,C,12.68,7646.218,5
239,1,87,0,C,11.61,9009.946,7
95.36,,,,C,17.32,1354.04,10
59.99,,,,C,19,0,10
1799.99,,,,C,11.1,6251.009,2
1405.8,,,,C,8.58,1211.961,10
239,1,71,1,C,3.29,2305.317,1
1343.97,1,54,0,B,1.87,4548.189,0
129,,,,C,14.29,1807.577,6
311.94,,,,A,0.48,909.24,0
488.38,,,,C,11.65,0,5
209.98,,,,C,0.16,987.5,10
140,1,74,0,C,11.55,1669.99,0
76.97,1,45,0,C,4.35,2551.634,1
477.97,,,,B,1.42,3551.531,0
239,1,81,0,C,10.13,850.98,0
185.9,1,71,0,B,4.32,3152.034,0
30.99,1,60,0,C,14.87,1339.18,5
213.16,1,69,0,C,2.48,9629.575,0
140,1,63,0,C,1.97,1279.84,10
649.99,1,,0,A,0.29,1870.65,0
488.38,1,87,0,C,19.48,675.21,0
97.97,0,65,0,C,4.87,1209.94,10
236.178,1,53,0,A,0.65,1568.84,0
2457.62,1,66,0,A,0.97,7963.819,0
36.98,1,45,0,C,7.97,4349.551,0
201.11,,,,C,0.42,2233.92,0
239,,,,C,13.13,1782.194,10
723.48,,,,C,1.74,637.514,7
33.98,1,54,0,C,12.23,3694.47,4
936.97,,,,C,7.65,5420.622,0
5072.06,,,,C,17.06,917.99,0
538.01,1,40,0,C,6.48,1665,1
105.96,1,50,0,C,8.71,2872.96,4
132.99,1,56,0,C,13.23,0,10
16.99,1,49,0,C,5.32,737.98,2
1220.68,,,,C,22.81,1454.287,10
39.98,1,50,0,C,9.39,740.354,4
66.98,1,70,0,C,10.42,3270.992,4
33.28,1,57,0,C,13.35,746.55,4
110.19,1,62,0,C,5.84,1423.44,0
84.97,1,57,0,C,15.45,1967.494,1
129,1,43,0,C,2.71,546.47,1
103.96,1,79,0,C,18.29,1899.494,10
89.99,1,70,0,C,15,0,10
99.87,1,66,0,C,9.1,1631.531,10
497.99,1,53,0,B,3.58,8568.89,0
369,1,44,0,C,6.32,2205.537,2
729.99,1,64,0,C,15.71,336.75,5
379.99,,,,A,0.35,1703.574,0
138.99,,,,A,0.32,5149.091,0
263.88,1,74,0,C,2.61,2634.52,1
39.98,,,,C,17.48,1200.385,10
1163.92,,,,C,23.52,0,0
952.07,1,57,0,C,10.68,3974.26,0
101.97,,,,C,13.97,0,10
116.96,1,73,0,B,1.06,2.95,0
499.98,1,72,0,A,0.39,3021.315,0
67.49,1,26,0,A,0.9,1003.23,0
620.98,1,66,0,C,16.23,3123.927,0
56.08,1,61,0,C,8.81,2864.97,4
651.96,,,,B,1.19,3037.92,0
478.98,1,59,0,A,0.13,2626.4,0
397.99,1,45,0,C,5.06,1066.857,0
75.96,1,63,0,B,3.26,4821.49,0
116.97,1,67,0,C,11.77,1415.03,0
108.45,1,49,0,C,8.9,3138.678,0
289.99,,,,C,12.29,4368.03,5
368.95,,,,C,23.71,1078.517,10
1067.96,,,,A,0.74,11597.9,0
79.99,,,,A,0.71,3346.407,0
811,,,,C,6.74,5809.6,0
24.99,1,56,0,C,6.03,2639.947,0
139.99,1,62,0,C,7.55,3006.537,2
195.97,,,,C,11.29,1184.97,0
1399.99,1,53,0,B,1.13,6987.91,0
1139.96,1,66,0,A,0.9,799.002,0
913.97,1,51,0,A,0.71,2929.16,0
44.99,1,56,0,C,4.26,3337.571,1
79.99,,,,C,0.65,2888.77,10
140,1,74,0,C,4.1,2661.285,1
17.98,,,,B,2.03,8144.811,0
49.99,1,73,0,B,2.9,5538.971,0
788.32,1,48,0,C,6.39,3357.296,1
119.99,1,56,0,B,1.77,1645.45,0
149,,,,C,0.16,2026.88,10
250.94,1,59,0,C,6.29,3776.74,1
102,,,,B,3.39,1375.99,0
488.97,,,,C,11.23,1096.99,10
239,1,69,0,C,19.77,1700.98,10
2018.99,,,,C,18.16,1356.81,1
46.74,1,44,1,A,0.81,2613.052,0
5.99,1,,0,C,0.19,1278.1,10
16.99,,,,C,2.74,0,1
89.07,,,,C,2.16,18.99,10
277.87,1,88,1,A,0.58,3563.551,0
57.98,,,,C,22,0,10
27.99,,,,C,5.35,1343.811,2
140,,,,C,4.9,0,10
803.99,,,,C,5.71,538,0
947.1,,,,C,14.42,2560.097,1
241.97,1,82,0,C,3.45,882.99,1
177.97,1,71,0,C,8.13,1699.83,10
87.99,1,83,0,C,9.97,924.87,0
137.98,1,65,0,C,22.06,1995.294,10
8.99,,,,B,1.55,3378.691,0
2328.51,1,57,0,C,7.13,1583.83,10
904.95,1,,0,C,21.81,2.6,0
149.99,1,50,0,C,2.87,0,1
109.97,,,,C,10.16,994.465,10
99.17,1,56,0,C,3,4613.99,1
468.97,,,,B,3.35,845.99,0
5031.49,1,57,1,A,0.39,4672.05,0
1457.06,0,28,0,B,2.03,5097.6,0
378,,,,C,7.97,1005.7,0
79.16,1,69,0,C,13.13,864.587,10
456.18,1,49,0,B,2.48,2010.837,0
709.71,1,54,0,C,9.87,11597.9,0
140,1,63,0,A,0.52,1615.13,0
59.99,1,30,0,B,0.13,718.45,0
2344,,,,B,1.06,1730,0
203.95,,,,B,1.55,3933.16,0
260.97,1,60,0,C,10.87,293,0
299,,,,B,2.87,4301.518,0
39.96,1,46,0,B,1.19,3897.581,0
424.99,,,,C,18.45,1764.594,10
132.97,1,42,0,B,3.19,1578.062,0
796.97,1,71,0,C,20.13,0,10
677.99,,,,C,21.42,1207.61,0
949.99,1,53,0,B,1.16,3110.277,0
199.99,1,41,0,C,5.32,7135.94,2
1632.17,1,,0,C,23.48,4582.57,0
89.99,,,,C,5.55,330.87,2
49.99,1,43,0,B,2.48,1067.96,0
115.99,,,,C,9.13,0,4
41.98,1,60,0,C,3.84,569.584,1
65.98,,,,B,3.9,4625.084,0
40.99,,,,B,1.1,953.537,0
578.99,1,70,0,A,0.48,11597.9,0
24.99,,,,C,8.71,6192.94,0
74.88,1,90,0,C,13.39,1240.19,10
798.95,1,58,0,B,3.26,4291.89,0
79.99,1,78,0,B,1.13,7596.307,0
129.99,,,,C,19.29,6017.127,2
149.99,,,,C,12.1,1341.284,0
41.98,1,66,0,B,2.1,3625.46,0
1627,1,63,0,C,14.1,995,0
244.98,1,49,0,A,0.52,1574.89,0
6.64,1,45,0,B,1.03,2989.262,0
428,1,46,1,B,2.52,2738.06,0
299.97,1,47,0,B,2.52,2314.972,0
379.97,1,,0,C,7.39,2166.16,3
79.99,1,35,0,C,6.74,453.4,1
96.95,1,49,0,C,12.61,4577.343,10
616.99,1,46,0,C,8.32,1391.839,0
82.97,,,,C,5.61,1791.95,2
79.99,1,58,0,B,1.81,2913.19,0
889.99,,,,C,23.35,1802.15,10
149.98,,,,C,6.13,1895.507,0
207.482,,,,C,11.35,2516.932,10
140,1,71,0,C,10.42,591.99,0
446.56,,,,C,1.35,2418.9,3
1992.32,,,,C,15.23,4879.832,10
179.99,,,,A,0.13,553.99,0
81.98,1,46,0,A,0.26,11597.9,0
1027.04,,,,C,18.23,1340.23,0
217.48,1,52,0,B,2.52,898.99,0
66.98,,,,B,4.65,779.98,0
69.99,1,78,0,A,0.23,2748.97,0
79.96,,,,C,7.87,2825.42,0
239,,,,C,14.52,2015.691,10
307.27,,,,C,10.1,793.99,0
566.18,1,30,0,C,14.71,641.99,1
414.99,1,40,0,C,10.26,1969.566,1
39.99,,,,C,9.45,1732.15,4
219.98,1,57,0,A,0.16,1505.97,0
399.99,,,,C,14.52,3558.98,0
307.98,,,,B,1.06,1019.456,0
24.99,1,35,0,C,5.68,1237.621,5
120.56,1,87,0,B,2.03,7506.46,0
6.99,,,,C,16.45,9755.303,0
91.97,,,,A,0.23,2182.607,0
840.19,,,,B,4.55,1754.97,0
239,1,60,0,C,12.87,4414.427,10
994.96,1,95,0,C,22.32,2606.87,0
109.99,,,,C,11.13,2.95,1
338.22,1,59,1,C,11.74,9667.11,0
54.99,,,,C,0.35,5060.856,6
140,,,,C,10.77,1212.99,4
239,,,,A,0.71,2598.597,0
247.99,,,,C,5.71,1352.982,0
39.98,1,41,0,A,0.77,4102.723,0
664.98,1,75,0,C,0.16,3250.46,1
53.98,1,51,0,C,10.23,2525.325,1
11.99,,,,A,0.97,747.33,0
38.87,,,,B,1.45,1263.309,0
139.96,1,57,0,B,1.94,2408.31,0
49.98,1,54,0,C,8.06,1613.4,3
1317.13,1,58,1,C,23.65,631.01,10
116.96,1,51,0,C,2.52,1717.72,0
113.98,,,,C,13.42,0,10
69.99,1,25,0,A,0.74,1085.6,0
112.94,1,51,0,A,0.58,0,0
847.98,,,,C,20.29,3344.2,2
109.99,1,76,0,B,2.52,4003.02,0
79.96,,,,C,13.84,1241.99,6
64.99,1,50,0,A,0.9,1184.001,0
1539.97,,,,C,6.19,6815.14,0
1061.99,1,88,0,C,18.81,1158.571,0
99.96,1,76,0,C,2.55,4244.912,0
33.98,1,73,0,C,1.87,1725.409,2
63.17,1,82,0,C,9.26,1390.601,4
391.99,,,,C,5.45,2038.031,0
1842.56,1,32,0,C,14.94,400.99,2
220,1,69,0,B,2.23,833.93,0
335.98,,,,A,0.94,2024.922,0
69.99,,,,A,0.87,4130.691,0
119.99,,,,C,11.32,4131.837,0
564.96,1,54,0,B,1.74,3205.651,0
15.99,1,76,0,C,3.42,1673.93,1
944.98,1,57,0,C,0.42,622,3
59.99,,,,A,0.45,1414.21,0
179.99,,,,A,0.16,726.59,0
59.99,,,,C,20.13,639.32,10
56,,,,C,0.13,2279.577,1
89.99,,,,B,3.74,1301.98,0
239,1,51,0,C,15.84,1283.99,0
78.98,,,,C,7.87,1647.79,3
292.99,,,,B,2,2337.97,0
49.99,,,,C,15.97,5565.907,0
229.95,1,41,0,B,1.87,2767.641,0
104.16,1,62,0,C,6.1,2440.13,2
163.14,1,68,0,C,7.71,6406.665,0
35.98,,,,C,10.06,1539.08,4
259.94,1,70,0,C,9.29,979,10
129,1,85,0,C,10.65,1274,2
744.84,1,47,1,C,21.87,4145.912,10
27.99,1,88,0,B,2.06,659.251,0
49.99,,,,A,0.81,1157.85,0
119.99,,,,C,3.87,8335.4,0
179,,,,C,3.9,1338.8,10
199.95,,,,B,3.71,10412.23,0
119.99,,,,C,14.87,6817.556,0
119.99,,,,C,21.48,5113.349,0
11.69,1,51,0,A,0.58,0,0
164.95,,,,B,2.94,3351.63,0
1447.22,1,65,0,C,17.35,5256.19,2
347.98,,,,C,16.77,2452.674,10
52.98,1,66,0,B,4.68,3899.497,0
175.9,1,68,0,B,1.94,1526.982,0
26.99,1,77,0,C,5.58,2468.852,0
725.99,1,59,1,C,20.77,5503.114,0
280.96,1,81,0,C,5.87,3156.617,2
255.42,1,64,0,C,11.19,1159.94,10
817.96,,,,A,0.26,2241.499,0
79.99,0,88,0,B,1.13,2151.841,0
489.99,1,51,0,C,19.06,1441.98,5
488.97,,,,C,8.45,2821.935,0
73.96,,,,C,6.71,6.99,3
36.98,1,90,0,B,1.84,5189.737,0
208.89,1,59,0,C,14.94,1345.99,0
79.99,,,,B,2.68,631.99,0
703.71,,,,A,0.77,717.14,0
251.96,1,49,0,C,21.35,4440.99,9
130.36,0,54,0,B,1.94,2451.574,0
24.99,,,,C,2.19,692.98,0
95.36,,,,C,5.74,3470.72,1
24.99,,,,A,0.55,0,0
199.99,1,50,0,B,1.65,2072.96,0
1489.09,1,84,0,C,3.52,4568.232,10
239,1,86,0,C,0.13,109.99,1
37.98,1,52,0,B,2.71,1912.166,0
1277.99,1,41,0,B,2.39,3080.33,0
46.98,1,86,0,C,3.23,5602.462,0
0.1,1,92,0,C,7.32,5796.54,0
279.99,1,75,0,B,3.19,5179.744,0
638.97,1,56,0,C,11.23,2184.93,10
169.99,,,,B,2.03,3232.664,0
56,,,,C,7.23,2001.49,0
119,,,,C,2.97,480.98,1
618.97,,,,C,20.55,2163.98,10
456.75,,,,C,23.29,7444.258,9
416.57,,,,C,18.48,2167.347,5
854.95,,,,C,11.29,2641.394,0
165.97,1,64,0,B,2.52,0,0
88.99,1,44,0,A,0.19,571.94,0
846.17,1,57,0,C,13.35,10948.744,1
2771.98,1,75,0,C,11.26,5261.227,0
64.99,1,80,0,A,0.74,2820.13,0
66.98,,,,C,5.74,6867.936,0
26.59,,,,C,7.61,602.12,3
424.99,1,56,0,C,13.71,834.946,1
67.98,,,,C,5.16,4485.698,0
1326.81,1,60,0,A,0.68,11597.9,0
52.98,,,,C,6.06,699.8,2
365.98,1,52,0,C,7.55,3805.796,0
367.06,1,62,0,C,2.65,3625.672,10
199.89,1,58,1,B,2.26,6650.144,0
470.38,1,54,0,C,17.39,1027.74,8
288.95,,,,C,0.9,8.99,10
84.98,1,68,0,C,7.97,0,0
19.98,1,56,0,C,8.58,672.6,1
622.11,1,,0,C,12.32,4.95,0
865.97,,,,C,8,1308.99,0
31.95,1,57,0,B,2.52,708,0
49.98,1,48,0,C,7.19,929.614,3
19.99,1,54,0,A,0.39,2046.98,0
156.38,1,74,0,C,0.58,1136.44,10
792.97,1,57,1,C,22.52,1931.98,10
169.98,,,,A,0.94,247,0
69.99,,,,C,20.74,2441.267,10
52.98,1,87,0,C,12.84,986.99,10
853.96,,,,C,15.35,2447.06,2
67.44,,,,B,1.06,4836.232,0
30.99,,,,C,7.77,1755.55,3
42.98,1,46,0,C,7.45,126.98,0
69.99,1,69,0,C,9.26,4.95,0
2448.98,,,,C,10.19,2279.01,0
389.97,1,39,0,B,1.65,11597.9,0
2818.4,1,46,0,A,0.97,2105.73,0
77.59,,,,A,0.52,1325.661,0
122.98,1,,1,C,20.29,1825.97,0
19.98,,,,B,2.26,1434.93,0
979.02,,,,C,13.61,2688.567,1
299.99,1,52,0,C,8.42,2003.99,0
303.97,1,38,0,C,15.81,7100.341,0
2007.16,1,70,0,C,9.35,3109.98,0
38.87,0,34,0,A,0.77,99.99,0
129.98,1,60,0,C,7.94,1791.91,0
867.52,1,38,0,C,7.13,853.3,0
66.98,1,53,0,A,0.42,679.99,0
1579.93,,,,C,5.35,2343.457,0
372.39,,,,C,23.71,661.034,10
89.07,1,52,0,C,5.77,1299.3,2
54.99,1,71,0,C,11.94,561.97,0
111.56,,,,C,10.29,59,10
56,,,,C,13.81,959.519,10
16.99,1,68,0,B,1.55,3695.811,0
239,,,,C,13.26,494,10
402.99,1,63,0,B,1.1,426.26,0
59.99,,,,A,0.26,0,0
74.98,1,53,0,A,0.39,296.3,0
259.97,1,42,0,C,5.68,8046.39,0
358,1,58,0,C,17.19,1064.01,1
214.99,1,67,0,B,4.55,11597.9,0
56,1,67,0,C,2.39,614.37,1
1003.97,1,81,0,C,11.97,3372.227,0
847.14,,,,A,0.48,1583.19,0
269.99,,,,C,0.13,0,10
223.96,1,58,0,A,0.52,787.329,0
74.99,,,,B,2.71,1131.39,0
200.94,,,,C,7.65,2079.557,3
279.96,,,,A,0.52,1156.84,0
90.98,1,53,0,C,2.97,2329.4,1
1102.49,,,,C,23.71,1418.05,10
158.99,,,,C,11.61,11597.9,5
378,,,,C,0.13,1436.4,10
37.98,0,53,0,B,2.55,682.98,0
66.97,1,82,0,C,7.13,0,10
1292.22,1,49,0,B,2.23,1318.97,0
449.99,1,,0,A,0.23,541.99,0
274.39,,,,C,0.13,1281.95,10
474,0,35,0,C,23.71,593.99,6
595.56,1,50,0,C,11.13,2709.89,0
2499.98,1,,0,B,1.94,11597.9,0
109.99,1,44,0,A,0.71,3536.97,0
71.98,,,,C,19.84,805.769,0
75.96,1,29,1,C,11.06,149.99,5
349,1,52,0,C,18.9,3939.411,0
56.98,1,39,0,C,6.68,1355.03,2
239,1,62,0,B,2.71,2317.37,0
419.97,1,49,0,C,0.26,2098.2,1
44.99,1,73,0,C,22.19,0,10
479.99,1,60,0,C,18.45,3529.924,10
349.98,1,60,0,A,0.58,544.98,0
179.86,,,,C,10.74,546.99,4
471.17,1,63,0,C,13.13,1544.587,0
99.9,1,49,0,C,2.42,0,0
1206.91,1,63,0,C,15.42,3436.179,0
461,,,,C,22.39,6.99,10
139.95,1,83,0,C,8.03,4248.246,2
1150,,,,C,10.48,810.98,10
474.99,1,91,0,B,2.9,11597.9,0
225.95,,,,C,11.87,4308.741,0
14.99,,,,C,16.26,3315.97,1
31.99,1,65,0,C,7.48,522.21,0
149.97,1,72,0,C,10.61,2999.42,0
54.95,,,,C,9.45,1168.99,4
89.99,,,,B,3.65,1354.99,0
58.83,1,43,0,B,1.61,5010.26,0
64.98,1,41,0,C,6.45,9265.251,0
57.98,1,71,0,C,1.29,720.469,0
87.26,1,69,0,C,11.71,1211.752,5
57.98,,,,C,13.39,0,10
19.99,1,62,0,B,4.94,3224.04,0
22.99,1,47,0,A,0.13,5810.737,0
87.99,,,,C,13.39,4603.634,2
202.78,,,,C,11.68,3198.69,5
618.99,,,,C,16.68,1276.734,2
49.99,1,82,0,A,0.13,2583.526,0
238.95,1,52,0,C,13.06,5573.214,5
667.39,1,63,0,B,1.97,9093.841,0
399.99,,,,C,16.55,2459.335,0
69.99,0,72,0,B,1.52,760.51,0
109.95,1,58,0,C,0.23,1088.387,10
69.09,,,,C,2.32,11597.9,0
111.97,1,78,0,A,0.9,567.92,0
39.99,,,,C,15.29,2346.8,2
73.96,1,48,0,A,0.81,4767.854,0
74.98,1,68,0,C,15.35,8924.622,10
499.99,,,,C,13.45,2254.93,0
392.47,1,73,0,C,11.84,1928.487,6
87.99,1,28,0,B,3.35,0,0
74.97,1,67,0,B,1.94,1864.919,0
119.49,,,,C,15.61,5254.674,1
133.97,1,55,0,C,4.71,2063.01,1
129.95,1,49,0,C,15.97,2020,10
39.95,,,,C,2.94,936.33,10
607.97,1,,0,C,14.45,1730.98,6
64.99,1,70,0,C,8.74,2452.188,4
109.95,,,,C,1.68,901.905,1
129.98,,,,C,21.42,1484.992,10
29.98,,,,C,4.48,1720.767,5
905.46,1,67,0,C,20.13,8,10
50.52,1,56,0,C,2.71,2660.564,0
61.97,,,,C,11.13,917.67,5
495.2,1,50,1,B,1.65,2032.98,0
657.97,1,47,0,A,0.52,2634.98,0
1223.97,1,48,0,B,4.48,878.299,0
164.95,,,,C,13.87,869.269,6
110,1,57,0,C,10.97,1176.96,10
29.99,1,69,0,C,14.39,4818.942,1
99.96,,,,C,13.42,598.4,10
49.99,,,,C,13.58,3164.96,5
35.98,1,54,0,C,2.48,2115.704,10
1549,,,,C,5.35,3844.2,2
57.98,,,,C,0.39,2836.911,3
139.99,1,39,0,B,1.45,7518.148,0
696.35,,,,C,4.29,1919.99,10
169.99,1,55,0,C,17.94,3769.576,1
248,,,,C,8.19,368.98,2
112.97,1,76,0,C,10.77,1791.387,6
39.99,,,,A,0.19,367.94,0
177.446,,,,C,10.35,1776.509,10
68.99,,,,C,9.48,1104.4,4
89.99,,,,A,0.13,0,0
109.95,,,,B,0.71,1792.502,0
47.99,1,73,0,B,1.65,1278.98,0
99.96,1,70,0,C,7.39,0,10
109.95,1,69,0,A,0.45,566.97,0
110,,,,C,8.13,2348.912,10
99.99,,,,C,17.13,1259.05,0
139.99,,,,B,1.68,1066.82,0
629.97,1,87,0,C,22.68,4025,0
327.94,1,35,0,B,1.23,1792.404,0
225.331,1,71,0,C,4.97,3397.092,2
57.97,1,55,0,C,12,1252.048,3
109.99,1,67,0,A,1,359,0
585.96,0,37,0,B,1.16,2026.261,0
359.99,,,,C,11.9,374.587,10
1644.93,1,71,0,A,0.23,11597.9,0
672.21,1,79,0,C,12.16,3520.046,10
116.06,,,,C,10.19,3951.351,3
84.97,1,89,0,C,7.87,6.99,3
52.98,1,66,0,B,1.68,1197.027,0
96.96,1,60,0,C,4.9,1107.5,2
154.96,,,,A,0.61,1269.02,0
110,,,,C,10.55,6269.398,4
119.99,,,,C,5.23,774.99,0
679.99,1,72,0,C,8.74,1931.91,2
31.99,,,,B,1.65,1758.92,0
278,,,,B,3.55,1415.83,0
1520.98,1,79,0,C,5.55,6397.98,0
54.99,1,49,0,C,0.81,848.99,10
239,1,59,0,C,5.68,296.39,5
56,,,,C,23.32,395.99,2
89,,,,B,3.81,7525.717,0
88.17,,,,C,9.77,0,0
116,,,,C,21.68,21.5,0
313.99,1,46,0,C,12.32,3213.574,0
279.96,1,43,0,C,9.77,2993.725,0
139.99,1,70,0,C,7.61,2638.702,0
159.99,,,,C,11.55,2045.06,0
258,1,73,0,C,5.74,6573.866,1
71.96,1,65,0,C,5.52,11597.9,0
1057.51,,,,A,0.87,2835.53,0
54.99,,,,C,23.52,1416.577,10
399.99,1,59,0,C,7.19,3437.17,3
156.96,1,49,0,A,0.61,1035.39,0
27.99,1,59,0,C,4.61,1223.399,1
1969.96,,,,C,20.45,1523,0
299.99,,,,C,15.19,2080.567,0
1091.52,,,,C,15.26,5044.358,0
1027.93,1,57,0,C,23.55,3754.158,0
1127.94,,,,B,3.94,3317.874,0
377.99,,,,C,11.48,2592.5,0
33.99,1,85,0,C,10,3705.202,4
31.98,1,56,0,B,1.35,594.98,0
75.96,,,,C,5.06,1936.425,2
30.99,1,66,0,C,6.52,1238.39,1
69.99,1,54,1,B,0.74,3331.834,0
399.99,1,64,0,C,7.68,1253.97,2
89.99,1,63,0,A,0.9,7285.681,0
256,,,,C,11.1,622.99,0
49.99,,,,C,18.94,1291.59,10
832.97,1,68,0,C,8.97,2280.412,0
98.97,1,73,0,C,3.26,0,1
219.793,,,,C,17.61,787.94,3
71.98,,,,C,20.81,754.99,0
336.96,,,,C,12.35,399.99,4
12.98,1,34,0,A,0.32,2446.22,0
139.99,1,64,1,C,1.26,787.6,10
39.99,1,71,0,C,5.32,5776.994,2
745.09,1,66,0,A,0.9,2891.251,0
1899,1,48,1,A,0.29,5386.618,0
16.99,,,,C,19.74,1276.887,2
